Artist,Title,Place,Date,Dimesions
José Clemente Orozco,Zapata,Mexico (Artist's nationality),1930,198.8 × 122.6 cm (78 1/4 × 48 1/4 in.)
José Clemente Orozco,The Flag,Mexico (Artist's nationality),1928,25.8 × 42.8 cm (10 3/16 × 16 7/8 in.)
José Clemente Orozco,"Unemployed, Paris",Mexico (Artist's nationality),1932,Image: 36.3 × 26.7 cm (14 5/16 × 10 9/16 in.); Sheet: 45.6 × 32.7 cm (18 × 12 7/8 in.)
José Clemente Orozco,Zapatistas,Mexico (Artist's nationality),1935,Image: 33.1 × 42.2 cm (13 1/16 × 16 5/8 in.); Sheet: 42.6 × 58 cm (16 13/16 × 22 7/8 in.)
José Clemente Orozco,Demons Seated at a Table,Mexico (Artist's nationality),1940 1949,25.1 × 32.6 cm (9 15/16 × 12 7/8 in.)
José Clemente Orozco,Ruined House,Mexico (Artist's nationality),1928,Image: 32.2 × 45.2 cm (12 11/16 × 17 13/16 in.); Sheet: 39.4 × 52.6 cm (15 9/16 × 20 3/4 in.)
José Clemente Orozco,Mexican Peasants Working,Mexico (Artist's nationality),1928,31 × 43.5 cm (12 1/4 × 17 3/16 in.)
José Clemente Orozco,The Grave Digger,Mexico (Artist's nationality),1926 1928,32.5 × 50.3 cm (12 13/16 × 19 13/16 in.)
José Clemente Orozco,Requiem,Mexico (Artist's nationality),1928,Image/plate: 30.3 × 40.4 cm (11 15/16 × 15 15/16 in.); Sheet: 34 × 45.6 cm (13 7/16 × 18 in.)
José Clemente Orozco,Marching Women,Mexico (Artist's nationality),1928,28 × 45.5 cm (11 1/16 × 17 15/16 in.)
José Clemente Orozco,Rear Guard,Mexico (Artist's nationality),1928,Image: 37.5 × 49.5 cm (14 13/16 × 19 1/2 in.); Sheet: 43.2 × 60.3 cm (17 1/16 × 23 3/4 in.)
José Clemente Orozco,The Conqueror,Mexico (Artist's nationality),1940 1949,25.1 × 32.6 cm (9 15/16 × 12 7/8 in.)
José Clemente Orozco,Requiem,Mexico (Artist's nationality),1928,Image: 25 × 40.5 cm (9 7/8 × 16 in.); Sheet: 38 × 54 cm (15 × 21 5/16 in.)
José Clemente Orozco,Prophesy of Quetzalcoatl,Mexico (Artist's nationality),1903 1944,Plate: 15 × 18.2 cm (5 15/16 × 7 3/16 in.); Sheet: 25 × 33.5 cm (9 7/8 × 13 1/4 in.)
José Clemente Orozco,Man Struggling with Centaur,Mexico (Artist's nationality),1903 1945,28 × 38.2 cm (11 1/16 × 15 1/16 in.)
José Clemente Orozco,Mexican Soldiers,Mexico (Artist's nationality),1928,Image: 30.5 × 48.3 cm (12 1/16 × 19 1/16 in.); Sheet: 42.5 × 29.7 cm (16 3/4 × 11 3/4 in.)
José Clemente Orozco,The Unemployed,Mexico (Artist's nationality),1932,Image/plate: 37 × 27 cm (14 5/8 × 10 11/16 in.); Sheet: 50.5 × 32.7 cm (19 15/16 × 12 7/8 in.)
José Clemente Orozco,Ruined House,Mexico (Artist's nationality),1928,32.5 × 45.5 cm (12 13/16 × 17 15/16 in.)
